FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.166931751,a5202ceb-e190-7369-759e-c37f1d4e346b,POINT (22.4027 27.57764),2022-02-27T23:11:00,296.14,278.63,0.76,0.77,1.5,night,nominal,2022-02-28T05:58:52.368,2022-02-28T05:58:52.368
nasa_fire.166931747,27111caf-a10a-bae6-8055-554daececd9f,POINT (22.49675 27.64622),2022-02-27T23:11:00,334.2,282.09,0.76,0.77,3.83,night,nominal,2022-02-28T05:58:52.337,2022-02-28T05:58:52.337
nasa_fire.166931748,35886e73-92ff-2e80-b433-720a99dd2733,POINT (22.49624 27.639),2022-02-27T23:11:00,298.73,278.89,0.76,0.77,3.83,night,nominal,2022-02-28T05:58:52.345,2022-02-28T05:58:52.345
nasa_fire.166931749,bae77a3a-b189-10f9-c5ad-49bd48befc30,POINT (22.4032 27.5849),2022-02-27T23:11:00,330.65,278.96,0.76,0.77,3.67,night,nominal,2022-02-28T05:58:52.353,2022-02-28T05:58:52.353
nasa_fire.166931750,6dc08d91-2a7d-82f4-fe3f-9c2c4105e580,POINT (22.39511 27.58524),2022-02-27T23:11:00,297.91,278.6,0.77,0.77,3.67,night,nominal,2022-02-28T05:58:52.361,2022-02-28T05:58:52.361
nasa_fire.166931754,53f81b97-f059-7c55-4d67-1a1f9a76ca9f,POINT (22.39891 27.58376),2022-02-27T23:11:00,338.53,279.82,0.76,0.77,6.82,night,nominal,2022-02-28T05:58:52.394,2022-02-28T05:58:52.394
nasa_fire.166931717,80a46695-62ab-118d-992f-47a472e40d44,POINT (22.36868 28.69869),2022-02-27T23:11:00,304.03,279.65,0.78,0.78,2.32,night,nominal,2022-02-28T05:58:52.097,2022-02-28T05:58:52.098
nasa_fire.166931718,ced75f7c-3d84-c6be-2208-0ad117a1b2b0,POINT (22.36828 28.69136),2022-02-27T23:11:00,302.66,278.99,0.78,0.78,2.32,night,nominal,2022-02-28T05:58:52.106,2022-02-28T05:58:52.106
nasa_fire.166931719,1488a866-7e1f-8946-a1c2-034f029c03db,POINT (22.37681 28.69102),2022-02-27T23:11:00,297.27,278.54,0.78,0.78,2.95,night,nominal,2022-02-28T05:58:52.113,2022-02-28T05:58:52.113
nasa_fire.166931733,40a32105-8717-2b39-2393-d9757163bbc2,POINT (22.31396 27.98617),2022-02-27T23:11:00,344.9,280.27,0.78,0.78,9.11,night,nominal,2022-02-28T05:58:52.231,2022-02-28T05:58:52.231
