FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.93548836,75c128c4-f052-d5a0-fb2f-5baba4251187,POINT (-105.78817 40.68715),2020-09-04T20:00:00,337.7,303.3,0.39,0.36,50,day,,2020-09-05T01:09:15.952,2020-09-05T01:09:15.952
nasa_fire.93548822,fa18a8fd-8a53-4251-1cff-9f63e07e532a,POINT (-105.799 40.67535),2020-09-04T20:00:00,350.9,313.6,0.39,0.36,15.9,day,,2020-09-05T01:09:15.849,2020-09-05T01:09:15.849
nasa_fire.93548811,e1e83c1b-3041-fb38-1f8c-956693533311,POINT (-105.79935 40.53639),2020-09-04T20:00:00,344.2,303.9,0.39,0.36,10.5,day,,2020-09-05T01:09:15.77,2020-09-05T01:09:15.77
nasa_fire.93548812,8fd47735-2843-91fe-19af-20b907ef8f9c,POINT (-105.7973 40.64829),2020-09-04T20:00:00,367,313.4,0.39,0.36,28.7,day,,2020-09-05T01:09:15.777,2020-09-05T01:09:15.777
nasa_fire.93548829,eb45f030-4ebd-ee8b-8416-6f55d3df7531,POINT (-105.80551 40.68122),2020-09-04T20:00:00,345.3,309.2,0.39,0.36,10.2,day,,2020-09-05T01:09:15.899,2020-09-05T01:09:15.899
nasa_fire.93548828,b4dc9618-c4ac-a23a-169b-1aa1d3ff5d09,POINT (-105.79636 40.68255),2020-09-04T20:00:00,348.8,315.1,0.39,0.36,14.3,day,,2020-09-05T01:09:15.892,2020-09-05T01:09:15.892
nasa_fire.93548818,8e80613b-aaf3-46f5-1c4c-a4f7da31584f,POINT (-105.78057 40.67803),2020-09-04T20:00:00,348.5,314.8,0.39,0.36,15.6,day,,2020-09-05T01:09:15.818,2020-09-05T01:09:15.819
nasa_fire.93548842,0e8fabea-c1bc-0c54-9e73-838126c79399,POINT (-105.83002 40.68449),2020-09-04T20:00:00,339.3,302.2,0.39,0.36,3.5,day,,2020-09-05T01:09:15.995,2020-09-05T01:09:15.996
nasa_fire.93548841,611b73b2-e8aa-3cc0-a1e1-0c8e3da4cb01,POINT (-105.8337 40.68055),2020-09-04T20:00:00,354.9,313.9,0.39,0.36,6.1,day,,2020-09-05T01:09:15.988,2020-09-05T01:09:15.988
nasa_fire.93548840,f5242a00-9b17-c273-0742-aafd6f61628e,POINT (-105.82917 40.6812),2020-09-04T20:00:00,343,311.4,0.39,0.36,6.1,day,,2020-09-05T01:09:15.982,2020-09-05T01:09:15.982
nasa_fire.93548839,40af1fba-3589-bd46-2bda-81f0133231f5,POINT (-105.82462 40.68186),2020-09-04T20:00:00,339.9,308.9,0.39,0.36,9.4,day,,2020-09-05T01:09:15.974,2020-09-05T01:09:15.974
nasa_fire.93548838,62f4dc00-e2ae-cb3d-1222-5d79892da473,POINT (-105.81552 40.68318),2020-09-04T20:00:00,340,314.6,0.39,0.36,15.6,day,,2020-09-05T01:09:15.966,2020-09-05T01:09:15.966
nasa_fire.93548837,6df75fd0-d527-e5b1-86ad-1dd03bb9d45b,POINT (-105.81097 40.68384),2020-09-04T20:00:00,356,316.6,0.39,0.36,15.6,day,,2020-09-05T01:09:15.958,2020-09-05T01:09:15.958
nasa_fire.93548831,a75908ec-0969-77e6-1c03-51a53bf91198,POINT (-105.84187 40.67595),2020-09-04T20:00:00,348.6,308.4,0.39,0.36,95.5,day,,2020-09-05T01:09:15.912,2020-09-05T01:09:15.912
nasa_fire.93548830,dae30451-f5eb-c9c8-0004-b5412254b9ae,POINT (-105.81008 40.68056),2020-09-04T20:00:00,352.4,311.5,0.39,0.36,15.6,day,,2020-09-05T01:09:15.905,2020-09-05T01:09:15.905
nasa_fire.93548823,c85cab73-dee9-b24f-b736-c620a7793df8,POINT (-105.80356 40.67469),2020-09-04T20:00:00,347.5,317.1,0.39,0.36,15.9,day,,2020-09-05T01:09:15.855,2020-09-05T01:09:15.856
nasa_fire.93548815,c396be2a-e7fe-5c0f-963d-f31d74078171,POINT (-105.79799 40.67209),2020-09-04T20:00:00,367,315.1,0.39,0.36,10.9,day,,2020-09-05T01:09:15.798,2020-09-05T01:09:15.798
nasa_fire.93548819,4e94955c-6820-8fa1-da2c-9dd94b2785eb,POINT (-105.78524 40.67735),2020-09-04T20:00:00,346.1,309.6,0.39,0.36,15.6,day,,2020-09-05T01:09:15.827,2020-09-05T01:09:15.827
nasa_fire.93548820,ae1abd5b-4f6c-a702-fc67-cf7e68571a79,POINT (-105.78985 40.67668),2020-09-04T20:00:00,355.5,317.5,0.39,0.36,26.1,day,,2020-09-05T01:09:15.833,2020-09-05T01:09:15.833
nasa_fire.93548821,3a9467e4-9fdd-95f0-c373-c12bfcbe1a83,POINT (-105.79443 40.67602),2020-09-04T20:00:00,356.1,315.1,0.39,0.36,26.1,day,,2020-09-05T01:09:15.84,2020-09-05T01:09:15.84
nasa_fire.93548824,c0f74d92-87f1-5825-87f6-396345ebf8ac,POINT (-105.78153 40.6813),2020-09-04T20:00:00,347.9,310.1,0.39,0.36,15.6,day,,2020-09-05T01:09:15.863,2020-09-05T01:09:15.863
