FID,uuid,gmtco_point,detected_at,ti4,ti5,scan,track,frp,day_night,confidence,created_at,updated_at
nasa_fire.47433849,78d93101-1545-5bf5-d64b-cb9e60867ba3,POINT (-107.96232 37.46309),2018-07-02T08:42:00,298.4,285.2,0.48,0.4,0.8,night,,2018-07-02T12:45:20.659,2018-07-02T12:45:20.659
nasa_fire.47433848,b176c8cf-2ee2-06ff-c2d0-d246913ba6cb,POINT (-107.96738 37.4637),2018-07-02T08:42:00,299.6,284.1,0.48,0.4,0.8,night,,2018-07-02T12:45:20.653,2018-07-02T12:45:20.653
nasa_fire.47433776,c9e7b961-9344-1e53-7c21-e69eb6d1cd31,POINT (-105.13548 37.43098),2018-07-02T08:42:00,319.5,289.3,0.4,0.37,3.2,night,,2018-07-02T12:45:20.137,2018-07-02T12:45:20.137
nasa_fire.47433775,f7ed3a0d-b091-ce35-ed59-d05047f837b8,POINT (-105.13982 37.4316),2018-07-02T08:42:00,311.3,289.3,0.4,0.37,3.2,night,,2018-07-02T12:45:20.131,2018-07-02T12:45:20.131
nasa_fire.47433774,e496c03a-5cd9-01e7-9bb4-eac7a045da73,POINT (-105.14422 37.43223),2018-07-02T08:42:00,301.6,285.8,0.4,0.37,1.5,night,,2018-07-02T12:45:20.123,2018-07-02T12:45:20.123
nasa_fire.47433768,85995b2c-a12e-c9f3-6112-13ac8aae45a8,POINT (-105.13918 37.43495),2018-07-02T08:42:00,299.5,287.3,0.4,0.37,1.5,night,,2018-07-02T12:45:20.083,2018-07-02T12:45:20.083
nasa_fire.47433767,5ae39574-44e8-f73f-0cee-b400a8d59c3e,POINT (-105.14353 37.43557),2018-07-02T08:42:00,306.5,288.3,0.4,0.37,0.8,night,,2018-07-02T12:45:20.075,2018-07-02T12:45:20.075
nasa_fire.47433766,402a8c56-364c-1bf4-b56e-f84fdfc8cc71,POINT (-105.14795 37.43621),2018-07-02T08:42:00,301.2,285.1,0.4,0.37,0.8,night,,2018-07-02T12:45:20.068,2018-07-02T12:45:20.068
nasa_fire.47433754,435529ec-5aee-f8e2-2ee8-280d2f5f3420,POINT (-105.14288 37.43892),2018-07-02T08:42:00,300.5,286.8,0.4,0.37,0.8,night,,2018-07-02T12:45:19.984,2018-07-02T12:45:19.985
nasa_fire.47433753,902fe4a4-1a19-e9cd-c475-2ac071226f91,POINT (-105.14727 37.43956),2018-07-02T08:42:00,297,285.1,0.4,0.37,0.8,night,,2018-07-02T12:45:19.977,2018-07-02T12:45:19.978
nasa_fire.47433752,0250cb0f-8e65-29ad-cfdc-0e884d94c4e0,POINT (-105.1562 37.44085),2018-07-02T08:42:00,298.8,281.4,0.4,0.37,0.9,night,,2018-07-02T12:45:19.967,2018-07-02T12:45:19.967
nasa_fire.47433743,8518170b-969a-c416-c74f-270a92762b4b,POINT (-105.13792 37.44165),2018-07-02T08:42:00,307.7,289.6,0.4,0.37,1.7,night,,2018-07-02T12:45:19.913,2018-07-02T12:45:19.913
nasa_fire.47433742,c8305c31-b528-9b2e-6465-c89636d019b2,POINT (-105.14227 37.44228),2018-07-02T08:42:00,305.8,287.8,0.4,0.37,1.2,night,,2018-07-02T12:45:19.907,2018-07-02T12:45:19.907
nasa_fire.47433741,648cf4ed-ba4c-a138-ce0b-9cbf5aa35f91,POINT (-105.14661 37.44291),2018-07-02T08:42:00,301.4,286.5,0.4,0.37,1.2,night,,2018-07-02T12:45:19.901,2018-07-02T12:45:19.901
nasa_fire.47433740,2a61a18a-2f85-e309-fec0-0d6547f9452e,POINT (-105.15548 37.44418),2018-07-02T08:42:00,300.9,283.5,0.4,0.37,1.8,night,,2018-07-02T12:45:19.895,2018-07-02T12:45:19.895
nasa_fire.47433739,3969647d-7e01-c44e-1b19-c897aa292ab0,POINT (-105.16447 37.44548),2018-07-02T08:42:00,300.2,283.6,0.4,0.37,1,night,,2018-07-02T12:45:19.889,2018-07-02T12:45:19.889
nasa_fire.47433738,8ae7c72d-aade-4297-fc55-d100cacfbd3f,POINT (-105.16894 37.44612),2018-07-02T08:42:00,302.4,283.2,0.4,0.37,0.7,night,,2018-07-02T12:45:19.883,2018-07-02T12:45:19.883
nasa_fire.47433733,45bb569e-39d0-f3e9-7528-a1a0266b8067,POINT (-105.15104 37.44354),2018-07-02T08:42:00,328.4,285.9,0.4,0.37,1.8,night,,2018-07-02T12:45:19.85,2018-07-02T12:45:19.85
nasa_fire.47433731,3dd170dd-93f6-3ecd-8389-6081587cc790,POINT (-105.1373 37.44501),2018-07-02T08:42:00,315.3,291.7,0.4,0.37,1.7,night,,2018-07-02T12:45:19.838,2018-07-02T12:45:19.838
nasa_fire.47433730,7bce165c-271e-213d-7c59-beebd918bcb7,POINT (-105.14165 37.44563),2018-07-02T08:42:00,304.2,288.5,0.4,0.37,1.2,night,,2018-07-02T12:45:19.832,2018-07-02T12:45:19.832
nasa_fire.47433729,cf5afabf-e997-66fa-47bc-ffb23e9cdbb0,POINT (-105.14597 37.44625),2018-07-02T08:42:00,317.4,290.2,0.4,0.37,1.2,night,,2018-07-02T12:45:19.826,2018-07-02T12:45:19.826
nasa_fire.47433728,56ee5195-e039-d16f-d2da-614dac7faca0,POINT (-105.15035 37.44689),2018-07-02T08:42:00,307.7,285.8,0.4,0.37,1.8,night,,2018-07-02T12:45:19.82,2018-07-02T12:45:19.82
